,Airline Name,Overall_Rating,Review_Title,Review Date,Verified,Review,Aircraft,Type Of Traveller,Seat Type,Route,Date Flown,Seat Comfort,Cabin Staff Service,Food and Beverages,Ground Service,Inflight Entertainment,Wifi and Connectivity,Value For Money,Recommended,origin,destination,Index
28842,Spirit Airlines,1,Spirit Airlines customer review,2014-05-05,False,I feel that Spirit Airlines is in the business to nickle and dime a customer. These are the following reasons: Airline ticket may be reasonable but baggage cost $300 for 3 bags and 1 bag was a take on. Told to go online to save money for luggage prices however you had to pay additional money and/or join and pay for a membership this was not initially told to me beforehand. It was an additional $10 if you had not already printed your boarding pass plus if you wanted an assigned seat that was also an additional $15. The plane seats were horrible you could not recline in them how would your back feel flying from Baltimore to Vegas round-trip it was like standing up the entire time! Finally the bundle menu the prices were terrible and utilizing a credit card for a soda and cookies for $10 is ridiculous. Furthermore if your luggage was over 50lbs you are looking at an additional $80. Never again.,,,,,,1.0,1.0,1.0,,1.0,,1.0,no,,,31676
65745,Emirates,6,"""not overly impressed with Emirates""",2017-02-24,False,"  Phuket to Dubai. Aircraft boarding was haphazard but everyone was boarded 10 minutes before departure time. There was then a delay of over 1 hour as a mother informed cabin crew that her son was unwell. Eventually they were all offloaded and the flight departed 75 minutes late. During the delay we were asked what we wanted for a meal, both first and second choices were unavailable. Eventually I ended up having the lunch instead of breakfast which meant that there was not much choice for lunch. Cabin crew service was hit and miss. Seat comfort was acceptable and far better than those on the A380. No amenity packs were offered. Arriving at Dubai late we had 20 minutes to catch the connecting flight which entailed using the rail link and with faulty lifts in the terminal we just made the connection. Discounting the delay, I was not overly impressed with Emirates and thought that the flight was poor value for money.",Boeing 777,Couple Leisure,Business Class,Phuket to Dubai,January 2017,3.0,2.0,2.0,2.0,4.0,,2.0,no,Phuket,Dubai,72282
77685,China Southern Airlines,5,"""cannot recommend this airline""",2017-09-21,False,"  Frankfurt to Wuhan via Changsha / Guangzhou. Overall dissatisfactory experience on for the most part older aircraft with no touch screen and little legroom on the A330. Food on the long haul segment of the flight was relatively good, whilst English service was bad. Safety video is extremely old school. No English magazine on the long haul, then on the domestic flight they had one - bizarre! Changsha as a stopover was a disaster. Though checked luggage is forwarded, you have to leave the aircraft, go through immigration and landside security check, led by an employee who ""tries"" to lead the group. All this in a hurry to catch the same plane again. Back in the plane, one passenger seems to be missing. Stewardesses walk along the corridor 10 times (!) trying to count passengers with their manual counter (seems to be a China Southern thing - extremely annoying and unprofessional). NO info from crew or cockpit whatsoever (in English or Chinese) for 2 hours! After 2 hours water is served. Followed by take off shortly after. Also unnecessary long (roundabout) ways in Guangzhou Airport: while the plane lands at a domestic gate, a bus is provided for all travelers from Frankfurt, which brings you again to the international terminal, which is especially inconvenient when you have to catch a domestic onward flight. China Southern also disappoints by saving on drinks on domestic flights, meaning a bottle of water only! Sadly, I cannot recommend this airline and was expecting more from the many positive reviews lately. ",A330,Couple Leisure,Economy Class,Frankfurt to Wuhan,September 2017,3.0,2.0,2.0,4.0,3.0,,4.0,no,Frankfurt,Wuhan,85426
94329,Air Canada,2,"""There's no space, it's cramped""",2023-06-10,True,"  There's no space, it's cramped, half of the menu options were not available, there's no entertainment system. The bathrooms are so tiny you can barely fit. It's like someone in corporate thought of every possible way to cut corners and cheapen and degrade the experience to the point where it's intolerable. No detail is spared when it comes to awfulness. The staff are fine, though and completely not their fault.",,Business,Economy Class,Kelowna to Toronto,June 2023,2.0,4.0,1.0,4.0,,,1.0,no,Kelowna,Toron,103688
29495,Malaysia Airlines,7,"""seat was decent and comfortable""",2018-06-01,True,"  Kuala Lumpur to Kota Kinabalu. Malaysia Airlines always keeping it standard of service across its board especially for its domestic and international flight. Referring to my recent flight, I can see some improvement over its IFE content and fresh new safety demo video. Hence, the cabin crews still keeping its Malaysian Hospitality but seem a little bit lost of spirit. Food was acceptable but the portion and side dishes were a bit disappointed. The cabin seat was decent and comfortable.",Boeing 737-800,Solo Leisure,Economy Class,Kuala Lumpur to Kota Kinabalu,May 2018,4.0,4.0,3.0,4.0,4.0,,4.0,yes,KualaLumpur,KotaKinabalu,32384
32738,Philippine Airlines,2,"""made us pay for a premium economy seat""",2023-01-16,True,"  The counter staff made us pay for a premium economy seat instead of the normal seat. We checked in at around 0845hours, she claimed that there are no vacant seats in the center area and that if we (I and my husband) to sit together, then we have no choice but to take the premium economy seat. We asked her that if really no seat available for isle and center, she said no more and we need to sit separately both in the isle. She seven said that it’s a full flight. In which well on fact it’s not, there are a lot of vacant middle seats in the economy area, how can this be!!.",,Couple Leisure,Premium Economy,Singapore to Philippines,January 2023,5.0,5.0,5.0,1.0,5.0,5.0,3.0,no,Singapore,Philippines,35955
86181,American Airlines,1,"""A child cannot travel unaccompanied""",2022-08-27,True,"  I am a mother and travelled with my 2 underage children, a 13-year-old daughter and a 9-year-old son, the company had the nerve to put my daughter seated separate from me, with 3 unknown men, I begged them to be placed together and the only answer I got from the flight attendants was that I would have to find someone who wanted to change seats with me. A child cannot travel unaccompanied and the company has to take care of this when buying the ticket, the commissioners have to solve the problem and not just throw the problem for me to solve, dishonesty is the least bad of words to describe this absurdity, my daughter having to travel alongside 3 unknown men, on a night fly of approximately 10 hours.",,Family Leisure,Economy Class,Sao Paulo to Miami ,August 2022,1.0,1.0,1.0,1.0,1.0,1.0,1.0,no,SaoPaulo,Miami,94714
2402,Royal Jordanian Airlines,1,Royal Jordanian Airlines customer review,2013-11-13,False,Have booked 5 separate round trips from London to Amman in business class on the wide body A330 because I like space and not being cramped on long flights like this. Every flight they have changed it to an A321 single aisle small plane. It is a waste of time complaining. They are false advertising a larger aircraft but giving you a cramped and claustrophobic ride on a small jet instead.,,,Business Class,,,1.0,4.0,4.0,,4.0,,1.0,no,,,2638
66717,Emirates,7,Emirates customer review,2014-03-28,False,DXB-MCR. Having landed from Sydney I upgraded to Business using Skywards miles. Well worth it. Lounges at DXB are massive and though functional have lost the intimate atmosphere that once existed. Food in lounge was fairly predictable too. Flight delayed in DXB 1 hour due to passengers being off loaded but was onboard so managed to relax and watch a movie. Flight was good and service fine. Food much improved for Economy though the snacks in the lounge at rear of plane were a little stale. Chauffeur Drive from MCR worked well. Not cheap but if you have miles to spend an upgrade is well worth it.,,,Business Class,,,4.0,4.0,4.0,,4.0,,4.0,yes,,,73339
28159,Spirit Airlines,1,Spirit Airlines customer review,2015-07-27,False,"Well, (on July 22, 2015) like everyone else I googled the cheap one way airline fares from New York to Chicago for my father for this weekend (July 24-26). Other airlines were priced for at least $200. Then I found this secret gem. Yes, it did seem suspicious. The price on their website was $73. We were about to book it. Then I started going through the booking process. A few steps later I found out they are going charge me $35 for a carry-on. Well, that totaled to $108. It was still better than other flights. I went a little further. Then they say that they would charge $10 for checking in and for boarding passes. I ended up booking it up for him. But, guess what? Today was his flight. He printed the tickets and boarding passes yesterday at home. Got to the airport on time today and his flight left 20 minutes in advance of the schedule. He got to Chicago earlier than he was supposed to be. I am just saying that yes maybe Spirit Airlines isn't that great and it might have some negative points. But, I think it still has some hope. As for the first experience, I will give it a 10.",,Solo Leisure,Economy Class,New York to Chicago,July 2015,4.0,5.0,4.0,5.0,,,5.0,yes,NewYork,Chicago,30924
